"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2023-11-13 09:57:43","ETHUSDT","SELL","2054.99","0.0747ETH","153.507753USDT","0.15350775USDT"
"2023-11-13 09:57:31","BTCUSDT","SELL","36989.79","0.00568BTC","210.1020072USDT","0.21010201USDT"
"2023-11-13 09:57:15","DOTUSDT","SELL","5.708","43.47DOT","248.12676USDT","0.24812676USDT"
"2023-11-13 09:57:15","DOTUSDT","SELL","5.708","106.53DOT","608.07324USDT","0.60807324USDT"
"2023-05-28 13:26:29","DOTUSDT","SELL","5.386","150DOT","807.9USDT","0.8079USDT"
"2022-01-15 12:43:19","DOTUSDT","SELL","26.89","5.17DOT","139.0213USDT","0.1390213USDT"
"2022-01-15 12:43:19","DOTUSDT","SELL","26.89","12.35DOT","332.0915USDT","0.3320915USDT"
"2022-01-13 09:38:02","BTCUSDT","BUY","43879.78","0.00569BTC","249.6759482USDT","0.00000569BTC"
"2022-01-13 09:16:20","ETHUSDT","BUY","3350.34","0.0746ETH","249.935364USDT","0.0000746ETH"
"2022-01-11 21:39:45","ADAUSDT","SELL","1.188","96.3ADA","114.4044USDT","0.000186BNB"
"2022-01-11 21:39:45","ADAUSDT","SELL","1.188","908.3ADA","1079.0604USDT","1.0790604USDT"
"2021-11-01 14:13:44","BNBUSDT","BUY","534.8","1.402BNB","749.7896USDT","0.0010515BNB"
"2021-09-09 21:51:00","ADAETH","SELL","0.0007315","386.4ADA","0.2826516ETH","0.00028265ETH"
"2021-09-09 21:51:00","ADAETH","SELL","0.0007315","905.6ADA","0.6624464ETH","0.00066245ETH"
"2021-09-09 21:51:00","ADAETH","SELL","0.0007314","550.3ADA","0.40248942ETH","0.00040249ETH"
"2021-09-09 21:51:00","ADAETH","SELL","0.0007314","617.8ADA","0.45185892ETH","0.00045186ETH"
"2021-09-09 21:51:00","ADAETH","SELL","0.0007314","550.3ADA","0.40248942ETH","0.00040249ETH"
"2021-09-02 14:25:41","ETHUSDT","BUY","3803","0.1886ETH","717.2458USDT","0.0001886ETH"
"2021-09-02 14:23:55","BNBUSDT","SELL","491.4","3.499BNB","1719.4086USDT","1.7194086USDT"
"2021-08-19 22:06:21","ADAUSDT","SELL","2.3788","114.39ADA","272.110932USDT","0.27211093USDT"
"2021-08-19 22:06:21","ADAUSDT","SELL","2.3791","67.51ADA","160.613041USDT","0.16061304USDT"
"2021-08-19 22:06:21","ADAUSDT","SELL","2.3792","104.5ADA","248.6264USDT","0.2486264USDT"
"2021-08-19 22:06:21","ADAUSDT","SELL","2.3789","725.15ADA","1725.059335USDT","1.72505934USDT"
"2021-08-19 22:06:21","ADAUSDT","SELL","2.3788","354.75ADA","843.8793USDT","0.8438793USDT"
"2021-08-01 15:49:15","BTTBNB","SELL","0.00000868","6000BTT","0.05208BNB","0.00003906BNB"
"2021-08-01 15:49:15","BTTBNB","SELL","0.00000867","702BTT","0.00608634BNB","0.00000456BNB"
"2021-08-01 15:49:15","BTTBNB","SELL","0.00000868","12135BTT","0.1053318BNB","0.00007899BNB"
"2021-08-01 15:45:19","TRXBTC","SELL","0.00000158","2716TRX","0.00429128BTC","0.00039175BNB"
